# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	345520
#@/user_id	de2906ef-e74d-4ea7-bed0-6466917abe46
a 	啊	c=1163 d=4.67475 t=345520
a 	阿	c=28 d=0.1 t=341570
a a 	啊啊	c=0 d=0.1 t=327709
a a a a 	啊啊啊啊	c=0 d=0.1 t=327709
a a a a a a 	啊啊啊啊啊啊	c=1 d=1 t=327710
a er fa 	阿尔法	c=21 d=1 t=239456
a fu 	阿福	c=1 d=1 t=178011
a li 	阿里	c=20 d=1 t=300903
a li ba ba 	阿里巴巴	c=2 d=1 t=265977
a li ren 	阿里人	c=1 d=1 t=221325
a li yun 	阿里云	c=93 d=1.93707 t=344451
a mo xi lin 	阿莫西林	c=4 d=1 t=331100
a pan ge 	阿潘哥	c=3 d=1.25805 t=105724
a qi mei su 	阿奇霉素	c=1 d=1 t=341571
a tang 	阿汤	c=6 d=1 t=266375
a tang ge 	阿汤哥	c=1 d=1 t=141216
a yi 	阿姨	c=0 d=3.85874e-05 t=345520
ai 	哎	c=2 d=1.00514 t=324995
ai 	唉	c=4 d=1 t=304551
ai 	爱	c=3 d=1 t=312799
ai 	癌	c=1 d=1 t=124272
ai 	艾	c=2 d=1 t=255724
ai ban 	呆板	c=1 d=1 t=296406
ai fu 	爱抚	c=1 d=0.0380064 t=345520
ai hao 	爱好	c=1 d=1 t=104370
ai kang 	爱康	c=1 d=1 t=121315
ai kang guo bin 	爱康国宾	c=1 d=1 t=121312
ai qi yi 	爱奇艺	c=1 d=1 t=27994
ai ren 	爱人	c=1 d=1.0802 t=312801
ai xin 	爱心	c=1 d=0.283654 t=345520
ai xiu 	爱秀	c=17 d=2.82843 t=343300
ai xiu bei 	爱秀杯	c=2 d=1 t=277105
ai xiu de 	爱秀的	c=1 d=1 t=48558
ai ya 	哎呀	c=7 d=0.250324 t=345520
ai yu 	碍于	c=1 d=1 t=165939
an 	安	c=6 d=1 t=345142
an 	按	c=865 d=1.2833 t=345173
an 	暗	c=1 d=1 t=158654
an 	案	c=8 d=0.0346514 t=345520
an 	氨	c=0 d=0.1 t=144633
an 	铵	c=0 d=0.1 t=264820
an ding 	安定	c=1 d=1 t=315564
an fen wan an 	氨分烷氨	c=1 d=1 t=139850
an fen wan an 	氨芬晚安	c=1 d=1 t=144634
